id,issn,erih_id
12,['0172-6404'],471777
237,['1757-9597'],484563
1000,"['1555-2462', '0002-0206']",451156
1000,"['0340-2118', '0171-1741', '0175-7598', '1432-0614']",340401
1000,['0167-9457'],441268
30,['2173-1950'],485918
73,['2173-0687'],489110
34,['2173-0695'],489031
53,"['2173-3511', '2173-6049']",500226
26,['2173-1276'],487721
3,"['2173-3511', '2173-6049']",500226
1000,['0346-251X'],447356
22,"['0042-0972', '1573-1960']",447694
183,"['0042-0972', '1573-1960']",447694
662,['1059-0560'],342675
383,"['1741-1920', '1741-1912']",440369
48,"['1741-1440', '1741-1432']",440092
345,"['2040-0594', '1741-1548']",450969
1000,['0003-3472'],342177
997,"['0964-2633', '1365-2788']",443130
559,"['1353-0194', '1469-3542']",438654
999,"['1532-7965', '1047-840X']",446190
1000,"['0020-739X', '1464-5211']",441925
26,"['2619-1008', '2619-0990']",494990
1,"['2215-0900', '2215-0897']",491653
104,"['2215-1486', '2215-1478']",481319
68,"['2215-1354', '2215-1362']",488005
1000,"['2044-768X', '0007-6805']",438760
22,"['2710-2114', '2710-2122']",500646
116,['1301-966X'],491437
864,['1660-4601'],472952
1136,['1660-4601'],472952
168,"['1989-709X', '2171-2085']",484985
196,['1989-8568'],498623
436,"['1558-5263', '0920-1297']",469844
17,"['1889-979X', '1989-8452']",493681
235,"['1989-7448', '1139-7853']",474791
133,"['1989-6816', '0213-8093']",489580
17,['1989-7383'],476649
2,"['1696-5043', '1989-7413']",484925
21,['1989-7103'],483902
2,['1989-8487'],486735
106,"['1139-9368', '1989-8193']",485695
4,"['1989-8312', '1131-8155']",482881
338,['1059-0560'],342675
1000,"['1935-1062', '0162-3737']",440089
26,['2543-1587'],496783
502,"['0924-6304', '2543-1684']",503176
14,"['2542-7466', '2542-7458']",496963
50,"['2543-3164', '2543-3156']",495275
39,['0131-2812'],499927
26,"['0131-1441', '2346-6014']",481391
686,"['0179-1613', '1439-0310']",340243
1000,"['1532-2491', '1082-6084']",447289
994,"['0022-5002', '1938-3711']",443916
10,"['0210-1874', '2254-8769']",471064
11,"['0211-5913', '2530-8335']",451558
272,"['2196-7970', '1616-1203']",476375
2,"['1369-801X', '1469-929X']",442146
669,"['1469-9311', '0959-6410']",340888
93,"['2076-8435', '0039-7946']",476429
418,"['0039-8322', '1545-7249']",447433
132,"['2076-8435', '0039-7946']",476429
432,"['1477-450X', '0142-6001']",437924
63,['2149-2751'],498298
272,"['1752-2285', '0967-201X']",343406
5,"['2153-3806', '0091-7710']",442396
166,['0091-7729'],446803
152,['1388-4441'],498783
769,"['1540-6261', '0022-1082']",339958
994,"['0030-8129', '1938-1530']",436387
1000,"['1469-3526', '0960-8788']",438635
231,"['1540-6261', '0022-1082']",339958
2,"['1552-8766', '0022-0027']",341332
4,"['0300-9483', '1502-3885']",341032
2,"['1363-4607', '1461-7382']",416744
1,"['0963-9470', '1461-7293']",444289
4,"['1461-7315', '1461-4448']",341593
2,"['0952-6951', '1461-720X']",441215
6,"['1461-703X', '0261-0183']",340594
2,"['0267-257X', '1472-1376']",443259
2,"['1081-1826', '1558-3708']",447272
1,"['0899-7640', '1552-7395']",445251
1,"['1461-7226', '0020-8523']",341294
1,"['1552-3861', '0011-0000']",439542
2,"['1552-3977', '0891-2432']",430583
2,"['1552-5457', '0075-4242']",442852
2,"['1741-3095', '1462-4745']",446248
1,"['1552-6127', '1090-1981']",441080
1,"['1354-0688', '1460-3683']",342774
1,"['1059-7123', '1741-2633']",437275
2,"['0263-2764', '1460-3616']",447745
1,"['1552-4167', '0145-4455']",438350
4,"['0888-3254', '1533-8371']",340057
2,"['0392-1921', '1467-7695']",439909
1,"['0950-0170', '1469-8722']",341902
1,"['1460-3659', '0306-3127']",341858
2,"['1461-7447', '0959-3543']",447737
1,"['1460-3624', '0957-9265']",439917
5,"['1839-2628', '1832-4274']",469918
2,"['0013-1644', '1552-3888']",423797
1,"['1401-5439', '1651-2022']",341953
1,"['0267-3231', '1460-3705']",342677
2,"['0741-7136', '1552-3047']",343654
2,"['1354-0661', '1460-3713']",342825
1,"['1552-7433', '0146-1672']",445664
1,"['0093-6502', '1552-3810']",439282
1,"['1741-2951', '1469-6053']",443738
1,"['1461-7129', '0959-6801']",440446
1,"['1651-2278', '1403-6096']",413517
