Country,Journal_count,Publication_count
Spain,809,76771
Romania,174,8193
Argentina,135,4953
Sweden,29,6720
United Kingdom,1350,1605994
United States,1161,2245731
Brazil,472,37335
Russia,216,23350
France,199,100708
Belgium,77,14637
Colombia,182,17227
Slovenia,48,4961
Albania,2,312
Paraguay,4,42
Turkey,247,33801
Czechia,152,14605
Bulgaria,38,4718
Italy,89,14672
Ukraine,270,29634
Netherlands,539,721708
Hungary,51,4722
Germany,247,167857
Norway,64,12380
Poland,786,54114
Portugal,99,9045
Estonia,14,1279
South Africa,21,7446
Bosnia and Herzegovina,37,691
Slovakia,65,4697
Macedonia,8,156
Serbia,117,11985
Lithuania,55,10448
Denmark,24,5516
Latvia,14,810
Switzerland,49,127230
Mexico,72,6775
Chile,106,5663
Costa Rica,41,2226
Finland,14,3891
International,16,2578
Montenegro,8,610
Iraq,1,1
Israel,5,2426
Malaysia,1,4
Peru,57,3545
Greece,13,581
Pakistan,8,194
Ireland,9,1315
Ecuador,69,3373
Croatia,100,4326
Uruguay,8,186
Azerbaijan,3,16
Canada,60,27690
Australia,38,24225
Indonesia,27,1173
Austria,26,1928
Nicaragua,6,189
Venezuela,20,2287
Armenia,7,179
New Zealand,4,4398
Japan,8,5961
Singapore,1,462
Korea,4,857
Dominican Republic,3,196
Cyprus,7,621
China,4,405
Puerto Rico,4,180
Kazakhstan,6,152
Hong Kong,1,562
Dominica,1,20
Guadeloupe,1,107
India,19,3833
Iran,4,932
Panama,5,48
Martinique,1,526
Georgia,5,151
Bolivia,8,359
Algeria,2,668
Lebanon,1,13
Nepal,1,67
Moldova,8,129
United Arab Emirates,1,76
Egypt,1,10
Cuba,1,13
Iceland,2,21
Guatemala,2,134
Honduras,1,8
Angola,1,57
Luxembourg,1,1309
