OC_omid,issn,EP_id,Publications_in_venue,Open Access
6101168457,['0091-7729'],446803,167,Unknown
61302709439,['2327-6207'],446803,11,Unknown
6101269976,"['0892-7537', '1573-7802']",444118,321,Unknown
61013436,"['1935-1046', '0034-6543']",446479,3091,Unknown
6101412167,['1949-9833'],476618,37,True
6101571325,"['0076-8820', '2330-796X']",444848,249,Unknown
6101585260,"['2325-2324', '0362-5028']",483994,400,Unknown
61019819,"['1535-1882', '0021-8715']",442382,2141,Unknown
61019926,"['1945-2314', '0021-8723']",447601,2313,Unknown
61021268,"['0002-9300', '2161-7953']",340509,5625,Unknown
6102229878,['2380-4076'],499021,11,Unknown
6102251533,"['2169-7132', '1526-1018']",442475,137,Unknown
6102338251,['2159-0303'],481288,71,True
6102464239,['2334-4415'],483247,119,True
61025111,['1369-8486'],421225,1168,Unknown
61025163,"['2044-768X', '0007-6805']",438760,1713,Unknown
6102784010,"['2167-6984', '2167-6968']",489991,550,Unknown
61027992,"['1354-0688', '1460-3683']",342774,1529,Unknown
61028110,"['1552-5481', '0192-513X']",442914,2650,Unknown
61028154,"['1552-6518', '0886-2605']",413929,5931,Unknown
6102845,"['0009-3920', '1467-8624']",439030,11119,Unknown
61029251,"['1078-0874', '1552-8332']",447975,1146,Unknown
61029384,"['1552-3861', '0011-0000']",439542,2485,Unknown
61029433,"['0010-8367', '1460-3691']",341375,1101,Unknown
6103015605,['0145-2258'],437424,203,Unknown
61501061826,['2163-9108'],437424,25,Unknown
6103028434,['1542-4286'],439239,373,Unknown
61032789,"['1468-2885', '1050-3293']",439285,779,Unknown
61034039,"['1527-5477', '0014-1801']",440365,1250,Unknown
61034095,"['0014-1836', '2156-7417']",440368,1058,Unknown
61034121,"['0011-3204', '1537-5382']",418107,3849,Unknown
6103514405,['0049-3155'],447393,15,Unknown
6103551490,"['1759-8818', '1069-4404']",447044,739,Unknown
61038822,"['1530-9282', '0024-094X']",342603,2719,Unknown
61038859,['0023-9690'],341979,1548,Unknown
61043106,"['2373-5112', '0043-7956']",448177,1189,Unknown
61043164,"['0043-8871', '1086-3338']",448202,1780,Unknown
61047646,"['1539-767X', '0031-8248']",445748,4289,Unknown
61051153,['0001-8791'],444095,3385,Unknown
61051385,"['1937-2108', '0001-9933']",437423,1539,Unknown
61054001,"['2162-6057', '0022-0175']",442720,1426,Unknown
61054047,"['1552-5422', '0022-0221']",342676,2480,Unknown
61058479,"['0090-4392', '1520-6629']",442645,3161,Unknown
610585532,"['1533-1571', '1041-3200']",442436,923,Unknown
61064077,"['0070-3370', '1533-7790']",341534,3215,Unknown
610686470,['0093-4240'],499717,258,Unknown
610740654,"['1930-322X', '0277-3945']",446640,961,Unknown
6107572,"['1527-1943', '0026-7929']",444897,1175,Unknown
610851515,['1945-6182'],437422,187,Unknown
6203529163,['1062-4783'],437422,451,Unknown
6109229,"['2159-9777', '0279-1072']",341269,2114,Unknown
6109350,"['1468-0114', '0279-0750']",445535,1077,Unknown
610977015,"['1467-9191', '0031-806X']",445727,318,Unknown
61101217542,"['0741-0883', '1552-8472']",436523,695,Unknown
61101245,"['0021-9266', '2157-6009']",442493,2219,Unknown
61101276818,"['1045-1595', '2162-4070']",482765,773,Unknown
61101306516,['1841-2394'],485038,38,Unknown
61101306659,['1841-5261'],485039,35,Unknown
61101331051,"['1940-4603', '1074-6846']",480904,137,Unknown
61101360096,['1947-9921'],441284,314,Unknown
61101787447,"['2330-2933', '2330-2925']",484182,207,Unknown
611018477,"['0002-9432', '1939-0025']",437589,5543,Unknown
611018551,"['1939-0084', '0735-7044']",340596,4180,Unknown
611018574,"['1939-0106', '1099-9809']",439640,1117,Unknown
611018581,"['0012-1649', '1939-0599']",439860,6858,Unknown
611018616,"['0096-1523', '1939-1277']",339732,4456,Unknown
611018632,"['0278-7393', '1939-1285']",341018,4154,Unknown
611018648,"['0893-3200', '1939-1293']",442918,2419,Unknown
611018657,"['0022-3514', '1939-1315']",341769,10276,Unknown
61101947639,"['2329-8464', '2329-8456']",489287,228,Unknown
61102045660,['1549-4721'],443177,159,Unknown
6302485857,['0095-6848'],443177,306,Unknown
611021306,"['1042-0533', '1520-6300']",340672,3434,Unknown
611021326,"['1042-1629', '1556-6501']",440108,1812,Unknown
611021505,"['1545-6951', '0026-8232']",444900,1609,Unknown
61102166652,"['1938-8209', '1938-8322']",475150,268,Unknown
61102217140,"['2167-7026', '2167-7034']",479858,771,Unknown
611026811,"['0010-4140', '1552-3829']",339954,2299,Unknown
61102731318,['2327-5731'],480647,67,Unknown
61102731357,['2327-5812'],447515,40,Unknown
6801136392,['0009-8353'],447515,122,Unknown
61102731513,['2327-5898'],438923,56,Unknown
61102779216,['2166-5486'],484655,79,Unknown
611030658,"['1754-9426', '1754-9434']",486016,1484,Unknown
611030780,"['1099-050X', '0090-4848']",441277,1827,Unknown
611030801,"['0090-502X', '1532-5946']",430156,4838,Unknown
611047572,"['1745-9133', '1538-6473']",487475,1204,Unknown
61105191,['0148-2963'],436416,9110,Unknown
611055695,['1545-0031'],477041,5,Unknown
611056847,"['0034-0553', '1936-2722']",446349,1440,Unknown
611059705,"['2471-4461', '2472-4513']",499431,75,Unknown
61106456,"['1939-8999', '0190-2725']",447009,1226,Unknown
611066393,"['1940-9133', '0735-1690']",446178,1788,Unknown
611066433,"['1467-9906', '0735-2166']",444055,1657,Unknown
611066468,"['1541-4140', '0735-6331']",442801,1678,Unknown
611070996,['0361-476X'],439480,1773,Unknown
6110843530,"['1940-1906', '0161-5440']",441184,691,Unknown
6110849087,['2158-5806'],447246,13,Unknown
6110861527,['1550-1558'],440819,252,Unknown
6160504086,['1054-8289'],440819,331,Unknown
6110966058,"['1531-426X', '1548-2456']",413067,862,Unknown
61109793,"['0009-398X', '1573-3327']",421766,2170,Unknown
61201016319,"['1089-2680', '1939-1552']",418691,717,Unknown
61201079695,"['2150-6787', '2150-6779']",478604,101,True
61201156846,"['1544-7529', '1544-7537']",472883,102,Unknown
61201159793,['1051-3558'],437543,421,Unknown
612011876,"['1552-146X', '0093-0334']",447561,3268,Unknown
612011981,"['2163-1654', '0093-3104']",447742,1098,Unknown
612012073,['1061-0421'],443599,1256,Unknown
61201299718,['1842-3191'],481448,101,Unknown
61201413887,['0021-6682'],341596,1000,Unknown
61801111237,['1553-0604'],341596,261,Unknown
612016199,"['0735-7028', '1939-1323']",446095,3019,Unknown
612016215,"['1939-134X', '1040-3590']",446188,2759,Unknown
612016226,"['1939-1331', '0736-9735']",446179,1236,Unknown
61201747302,"['2161-427X', '1524-8429']",486205,281,Unknown
61201747365,"['1524-8879', '1874-6306']",418361,525,Unknown
61201867648,['0039-3657'],447261,946,Unknown
61501823588,['1522-9270'],447261,334,Unknown
61201916389,"['1935-1704', '2194-6124']",471305,517,Unknown
61201936889,"['2055-7973', '2055-7981']",486018,75,Unknown
61201950652,['2641-0478'],499377,119,True
61202028629,['1549-4950'],443888,351,Unknown
612021679,"['1533-8312', '0730-7829']",444997,1133,Unknown
612024653,"['0018-7895', '1544-399X']",452037,1384,Unknown
61202489,"['2040-8072', '0038-7134']",447131,2998,Unknown
61202658966,"['1470-1367', '0957-4042']",448159,603,Unknown
61202775128,['1529-1456'],438437,584,Unknown
61202775335,['1529-1499'],438599,198,Unknown
61202775382,['1529-1529'],444214,191,Unknown
612029908,"['0090-5917', '1552-7476']",445924,1549,Unknown
612029937,"['0090-5992', '1465-3923']",342346,1703,Unknown
61203324620,"['1552-6836', '0097-7004']",444892,872,Unknown
612037003,"['1554-351X', '1554-3528']",471783,4015,Unknown
612038355,"['0040-5639', '2169-1304']",447720,1298,Unknown
612041165,"['1545-6994', '0021-1753']",442185,4349,Unknown
6120587004,"['1533-8339', '0195-6167']",444999,735,Unknown
6120644898,['1532-5490'],500456,316,Unknown
6120704759,"['1552-7840', '1541-3446']",444034,438,Unknown
6120713165,"['1534-7303', '0040-4691']",447440,241,Unknown
6120841549,"['2333-9683', '2333-9691']",499404,171,Unknown
6120873544,['1527-8050'],444117,423,Unknown
613010252,"['0001-4273', '1948-0989']",437111,5668,Unknown
61301292654,"['1944-6497', '0066-6637']",481749,102,Unknown
61301292705,"['1933-8139', '0066-6939']",417334,230,Unknown
61301406,"['2166-5508', '0362-1529']",447820,1077,Unknown
61301437058,"['1573-711X', '1570-7156']",471660,272,Unknown
61301639700,"['2158-3897', '2381-5892']",483685,364,True
613017468,['0890-8567'],340441,8380,Unknown
61301826105,"['1807-9326', '1874-656X']",477385,100,Unknown
613018500,"['1530-9169', '0022-1953']",443144,3200,Unknown
61301924405,"['2688-8157', '2688-8149']",501944,24,Unknown
61302092741,['1555-2101'],442611,488,Unknown
613045078,['0160-6689'],442611,5277,Unknown
61302154443,"['1938-9663', '1938-9655']",475975,577,Unknown
61302225975,['1937-1209'],475476,284,Unknown
61502232111,['1937-1217'],475476,139,Unknown
6130223865,['0019-7289'],481579,467,Unknown
62102385426,['2164-8654'],481579,63,Unknown
613023220,"['1532-2491', '1082-6084']",447289,4347,Unknown
613023321,"['0022-1546', '1538-4640']",443050,4564,Unknown
61302413244,['1085-1968'],489511,96,Unknown
613024731,"['2153-3326', '1052-150X']",438759,1175,Unknown
613026180,"['1741-3095', '1462-4745']",446248,856,Unknown
61302620991,['1937-8912'],474586,151,True
6130283863,"['0148-3331', '2056-5666']",451756,827,Unknown
6130298002,"['1947-6566', '2153-9650']",499912,42,Unknown
6130298032,"['2152-9272', '1947-6574']",477984,102,Unknown
61303010621,"['0738-2480', '1939-9022']",444338,847,Unknown
613030421,"['0022-2895', '1940-1027']",443359,2171,Unknown
61303082492,"['1469-8021', '0954-3945']",444303,450,Unknown
613036371,"['1527-5507', '0333-5372']",445894,1206,Unknown
613036488,"['1553-5622', '0018-098X']",441132,1386,Unknown
613037844,"['1564-698X', '0258-6770']",448183,1015,Unknown
6130388164,"['1084-5453', '1930-8892']",422852,681,Unknown
6130423907,"['0883-8534', '2161-1912']",443362,743,Unknown
613043844,"['1558-9080', '1943-4529']",478703,1613,Unknown
613045097,['0160-6379'],440605,1357,Unknown
613053739,"['2163-5811', '1043-7797']",443747,1808,Unknown
6130644484,['1532-5768'],442629,196,Unknown
6130844556,"['2334-1785', '2334-1777']",500411,37,Unknown
61308872,"['1467-6494', '0022-3506']",443509,3674,Unknown
6130900670,['1040-2608'],503952,514,Unknown
6130943650,"['0026-9271', '1934-2810']",444946,156,Unknown
61401047347,"['2163-8217', '1080-1960']",484022,132,Unknown
61401090145,['1538-5000'],444219,472,Unknown
614010929,"['1097-4679', '0021-9762']",442612,9933,Unknown
614011322,"['1460-2466', '0021-9916']",442636,3152,Unknown
614012386,"['0022-1309', '1940-0888']",442987,3983,Unknown
614012588,"['1940-0896', '0022-1325']",447612,3369,Unknown
61401342,"['1058-8388', '1097-0177']",341380,5402,Unknown
61401400379,['0890-2461'],471916,122,Unknown
61401462849,"['1939-151X', '1524-9220']",446206,752,Unknown
61401734790,"['1552-6283', '1552-6291']",468883,336,Unknown
614018005,"['1538-4780', '0022-2194']",340707,3872,Unknown
61401868950,"['1086-3311', '0272-9601']",446142,194,Unknown
614021931,['1538-4586'],443930,1258,Unknown
614022045,"['0022-5002', '1938-3711']",443916,4617,Unknown
614022130,['0022-5037'],443927,1785,Unknown
61501646981,['1086-3222'],443927,665,Unknown
61402367261,"['1911-0227', '0829-3201']",485570,711,Unknown
614023745,['0022-0965'],442903,5000,Unknown
614023801,"['0022-0973', '1940-0683']",339791,2930,Unknown
614024915,"['1552-7433', '0146-1672']",445664,5050,Unknown
614026207,"['1060-1538', '1520-6505']",440542,1014,Unknown
61402786772,"['1873-5398', '1081-602X']",441214,781,Unknown
61402786914,"['1081-6976', '1555-2934']",477401,734,Unknown
61403013242,"['1467-9558', '0735-2751']",447039,742,Unknown
614033848,"['1937-5239', '0002-8762']",437552,9963,Unknown
614035024,"['1710-1115', '0008-4131']",438836,1425,Unknown
614035240,"['0010-4175', '1475-2999']",439327,1888,Unknown
614036699,"['0018-2656', '1468-2303']",441201,1323,Unknown
614036764,"['0018-2680', '1748-5959']",441203,1209,Unknown
614041562,"['1044-6753', '2475-1898']",499471,104,Unknown
614042614,"['2194-6108', '1935-1682']",477558,993,Unknown
614045264,"['1943-1538', '2377-8784']",499569,44,Unknown
614048699,"['1940-9222', '1048-1885']",446177,1838,Unknown
61405400,['0006-3223'],343253,13814,Unknown
614058625,"['0270-7314', '1096-9934']",442972,2224,Unknown
614059948,"['0093-5301', '1537-5277']",442691,2593,Unknown
6140786423,"['1087-7142', '1758-860X']",450965,38,Unknown
61407973,['0022-362X'],443531,3712,Unknown
6140859440,"['2578-3505', '2578-3491']",500581,71,Unknown
61409645,['0001-4966'],343110,57919,Unknown
615010582,"['1943-5045', '0017-8055']",441051,1369,Unknown
61501058615,"['1086-0266', '1552-7417']",445478,769,Unknown
61501136268,['0009-8418'],447517,603,Unknown
6902028407,['1558-9234'],447517,169,Unknown
61501262430,"['1941-1359', '1941-1340']",474480,300,Unknown
61501355884,"['1533-8320', '0742-9797']",444799,427,Unknown
61501366351,"['1755-0491', '1755-0483', '1744-0491']",475794,448,Unknown
61501620619,"['2164-4551', '2164-4543']",489742,110,True
61501781003,"['2330-3980', '2330-3964']",451858,95,Unknown
615018133,"['1539-3429', '1470-8175']",438414,1862,Unknown
61501831349,"['1538-4594', '0968-8005']",443407,244,Unknown
61501972368,"['2157-2941', '0730-9139']",447270,58,Unknown
61502030965,"['2640-6470', '2640-6489']",498384,33,Unknown
61502060715,"['1527-2079', '0031-8213']",445741,682,Unknown
615021047,"['0017-8160', '1475-4517']",441061,1831,Unknown
61502154902,['2470-5616'],475460,26,Unknown
61502246231,['2156-9428'],488794,66,Unknown
615024119,"['1520-6696', '0022-5061']",340717,1592,Unknown
6150244423,"['1529-1464', '0022-281X']",443341,626,Unknown
61502670171,"['2050-1242', '2050-1250']",486048,256,Unknown
615027222,"['1530-9576', '1557-9271']",446230,730,Unknown
61503119778,"['1939-2419', '0315-7997']",441186,87,Unknown
61503129666,"['2328-5265', '0363-1923']",441479,152,Unknown
6150330312,['1042-9573'],442931,702,Unknown
615035704,"['0002-9114', '1939-828X']",437559,3167,Unknown
615042207,['0029-4527'],445284,1998,Unknown
615042245,"['0029-4624', '1468-0068']",445286,1879,Unknown
615044092,"['2284-5666', '2688-8211']",483922,57,Unknown
615047614,"['1540-6520', '1042-2587']",449225,1424,Unknown
615051245,"['1365-1005', '1469-8056']",444501,1423,Unknown
6150550044,"['1930-7802', '1089-2699']",441019,557,Unknown
6150602227,"['1527-2060', '0021-3667']",442984,584,Unknown
615062267,"['0271-1214', '1538-4845']",447792,1061,Unknown
615062305,"['0743-5584', '1552-6895']",343467,1159,Unknown
615063879,['0093-934X'],341274,4541,Unknown
615063959,"['0093-8157', '1556-3014']",446507,1175,Unknown
6150650898,['0034-4346'],446398,264,Unknown
6150690039,"['0018-7143', '1534-6617']",441260,836,Unknown
61507325,"['1464-066X', '0020-7594']",340495,2546,Unknown
6150831271,"['2167-8510', '0084-9812']",451562,146,Unknown
6150855847,"['1939-0610', '1093-4510']",441210,431,Unknown
6150885891,['1527-9421'],445378,307,Unknown
6180748775,['0029-8115'],445378,252,Unknown
6150913396,['1534-0708'],447509,297,Unknown
6150913525,['1534-1461'],447107,119,Unknown
6150913779,['1534-150X'],445279,224,Unknown
61601780546,['0027-4380'],445279,563,Unknown
61601155980,"['0091-732X', '1935-1038']",446501,661,Unknown
61601164921,['2766-0117'],504090,5,True
61601243015,['0276-2080'],445736,668,Unknown
61601261573,"['1941-1367', '1941-1375']",477729,222,Unknown
61601262653,"['1941-1383', '1941-1391']",477727,363,Unknown
616012706,"['1745-6924', '1745-6916']",477589,1232,Unknown
