EP_id,Publications_in_venue,Original Title,Country of Publication,ERIH PLUS Disciplines,disc_count
438654,565,British Journal of Middle Eastern Studies,United Kingdom,History,1
343406,272,Anthropology in Action,United Kingdom,Anthropology,1
448043,993,Victorian Literature and Culture,United Kingdom,Literature,1
446434,828,Research in Science & Technological Education,United Kingdom,Pedagogical & Educational Research,1
449260,536,Libyan Studies,United Kingdom,Archaeology,1
343614,3438,Review of Economic Studies,United Kingdom,"Business and Management, Economics",2
491325,287,Voluntary Sector Review,United Kingdom,"Sociology, Interdisciplinary research in the Social Sciences",2
470364,80,Mediterranean Studies,United Kingdom,"Anthropology, Archaeology, History, Cultural Studies, Linguistics, Interdisciplinary research in the Social Sciences",6
494800,45,Virtual Creativity,United Kingdom,"Art and Art History, Media Studies and Communication",2
486387,360,European Politics and Society,United Kingdom,Political Sciences and International Relations,1
503325,2,Genealogy+Critique,United Kingdom,"Art and Art History, History, Cultural Studies, Media Studies and Communication, Political Sciences and International Relations, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",7
489166,120,Studies in the Maternal,United Kingdom,"Gender Studies, Cultural Studies, Demography, Economics, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",6
477341,180,Cambridge Classical Journal,United Kingdom,Classical Studies,1
445001,719,Musicae Scientiae,United Kingdom,Musicology,1
447443,868,Text and Performance Quarterly,United Kingdom,Literature,1
442384,1445,Journal of American Studies,United Kingdom,"Cultural Studies, History",2
442388,1862,Journal of Analytical Psychology,United Kingdom,Psychology,1
340772,3598,Journal of Anatomy,United Kingdom,Anthropology,1
493666,122,Queen Mary Journal of Intellectual Property,United Kingdom,Law,1
437860,620,Anthropology & Medicine,United Kingdom,Anthropology,1
480650,80,Journal of Linguistic Geography,United Kingdom,Linguistics,1
485154,69,Journal for the Cognitive Science of Religion,United Kingdom,"Interdisciplinary research in the Social Sciences, Religious Studies and Theology",2
447598,643,The Journal of Agricultural Education and Extension,United Kingdom,Pedagogical & Educational Research,1
446381,1339,Religion,United Kingdom,Religious Studies and Theology,1
443174,339,Journal of Islamic Studies,United Kingdom,Religious Studies and Theology,1
448356,565,Twentieth Century British History,United Kingdom,History,1
340854,1708,Journal of Philosophy of Education,United Kingdom,"Philosophy, Pedagogical & Educational Research",2
442994,1591,Journal of Geography in Higher Education,United Kingdom,Pedagogical & Educational Research,1
442146,1053,Interventions: International Journal of Postcolonial Studies,United Kingdom,Literature,1
447885,2454,Transportation Research Part F: Traffic Psychology and Behaviour,United Kingdom,Psychology,1
342362,1913,Business History,United Kingdom,History,1
484935,50,Journal of Open Archaeology Data,United Kingdom,"Archaeology, History",2
504668,16,Glocality: Undergraduate Academic Journal,United Kingdom,"Business and Management, Sociology",2
470710,400,Journal of Children's Services,United Kingdom,"Sociology, Pedagogical & Educational Research, Psychology",3
341593,2467,New Media & Society,United Kingdom,Media Studies and Communication,1
438317,911,Azania,United Kingdom,"Archaeology, History",2
343684,1926,Environment and Behavior,United Kingdom,Psychology,1
444300,767,Language Teaching,United Kingdom,Linguistics,1
484563,260,Longitudinal and Life Course Studies,United Kingdom,"Sociology, Social Statistics and Informatics, Interdisciplinary research in the Social Sciences",3
415406,1226,Stress and Health,United Kingdom,Psychology,1
340319,1638,Psychotherapy Research,United Kingdom,Psychology,1
340512,1480,Ethnos,United Kingdom,Anthropology,1
445607,914,"Pastoral Care in Education: An International Journal of Personal, Social and Emotional Development",United Kingdom,Pedagogical & Educational Research,1
444403,1143,Library,United Kingdom,"History, Literature",2
448182,1743,World archaeology,United Kingdom,Archaeology,1
439837,927,The Design Journal,United Kingdom,Art and Art History,1
483215,74,Aramaic Studies,United Kingdom,Religious Studies and Theology,1
342192,2669,Africa,United Kingdom,"Anthropology, History",2
437421,2167,African Affairs,United Kingdom,Political Sciences and International Relations,1
437437,1260,African Studies,United Kingdom,Anthropology,1
443774,472,Journal of Spanish Cultural Studies,United Kingdom,"Cultural Studies, Media Studies and Communication, Film and Theatre Studies",3
447266,1020,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,United Kingdom,"History & Philosophy of Science, Philosophy",2
442698,1681,Journal of Contemporary History,United Kingdom,History,1
443037,2276,Journal of Hellenic Studies,United Kingdom,"Classical Studies, History",2
446078,1347,Proceedings of the Prehistoric Society (PPS),United Kingdom,Archaeology,1
343284,1466,Review of International Studies,United Kingdom,Political Sciences and International Relations,1
483782,304,Journal of Tourism Futures,United Kingdom,"Business and Management, Interdisciplinary research in the Social Sciences",2
489350,167,Archives and records,United Kingdom,"History, Interdisciplinary research in the Humanities",2
445599,1767,Parliamentary Affairs,United Kingdom,"Law, Political Sciences and International Relations, Sociology",3
485808,65,Critical Studies in Men's Fashion,United Kingdom,"Cultural Studies, Sociology",2
481407,155,"Fashion, Style & Popular Culture",United Kingdom,"Cultural Studies, Gender Studies, Interdisciplinary research in the Humanities, Sociology",4
470476,161,Design Philosophy Papers,United Kingdom,Art and Art History,1
448176,661,Word and Image,United Kingdom,"Art and Art History, Literature",2
446464,751,Rethinking history,United Kingdom,History,1
450969,351,Studies in European Cinema,United Kingdom,Film and Theatre Studies,1
440369,386,Ethnomusicology Forum,United Kingdom,Musicology,1
450925,38,Austrian Studies,United Kingdom,Literature,1
450925,21,Austrian Studies,United Kingdom,Literature,1
470606,148,Journal of Wetland Archaeology,United Kingdom,Archaeology,1
445542,1002,Paedagogica Historica: International Journal of the History of Education,United Kingdom,"History, Pedagogical & Educational Research",2
482765,773,Adult Learning,"United Kingdom, United States",Pedagogical & Educational Research,1
439573,579,Critical Discourse Studies,United Kingdom,Media Studies and Communication,1
469883,273,Home Cultures,United Kingdom,Art and Art History,1
477651,83,2Central Europe,United Kingdom,"Literature, History",2
471022,204,Word Structure,United Kingdom,Linguistics,1
499139,61,Journal of Contemporary Chinese Art,United Kingdom,"Art and Art History, Interdisciplinary research in the Social Sciences",2
485807,40,"Dance, Movement & Spiritualities",United Kingdom,"Film and Theatre Studies, Religious Studies and Theology",2
486127,83,East Asian Journal of Popular Culture,United Kingdom,"Cultural Studies, Interdisciplinary research in the Humanities",2
486838,110,International Journal of Fashion Studies (INFS),United Kingdom,"Cultural Studies, Gender Studies, Human Geography and Urban Studies, Media Studies and Communication",4
445192,459,New Review of Academic Librarianship,United Kingdom,Library and Information Science,1
445782,689,Physical Education and Sport Pedagogy,United Kingdom,Pedagogical & Educational Research,1
485607,573,Australian Journal of Environmental Education,United Kingdom,Environmental Studies,1
342238,758,International Journal of Applied Linguistics,"United Kingdom, Norway","Linguistics, Pedagogical & Educational Research",2
489487,195,Journal of Criminal Psychology,United Kingdom,"Sociology, Psychology",2
482015,794,Revista de Historia Económica - Journal of Iberian and Latin American Economic History (RHE-JILAEH),"Spain, United Kingdom",History,1
475529,358,Psychoanalysis and History,United Kingdom,"History, Interdisciplinary research in the Social Sciences",2
477021,304,Literacy Research and Instruction,United Kingdom,Pedagogical & Educational Research,1
478159,195,Journal of Applied Journalism and Media Studies,United Kingdom,Media Studies and Communication,1
340678,3026,Alcohol and Alcoholism,United Kingdom,Psychology,1
441153,1921,Higher Education Research and Development,United Kingdom,Pedagogical & Educational Research,1
501760,23,International Journal of TESOL Studies,,"Linguistics, Pedagogical & Educational Research",2
446327,438,Ramus - Critical Studies in Greek and Roman Literature,United Kingdom,Classical Studies,1
479167,324,Landscape History,United Kingdom,"History, Art and Art History",2
446193,126,Psychological Science in the Public Interest,United Kingdom,Psychology,1
439909,1025,Diogenes (English Edition),United Kingdom,History,1
437992,2465,Archaeometry,United Kingdom,Archaeology,1
482684,418,Labour History Review,United Kingdom,History,1
446396,711,Renaissance Studies,United Kingdom,"Art and Art History, Literature, History",3
476943,173,Journal of Arab & Muslim Media Research,United Kingdom,"Cultural Studies, Film and Theatre Studies, Media Studies and Communication",3
489164,326,Insights: the UKSG journal,United Kingdom,"Library and Information Science, Media Studies and Communication",2
491709,76,African Renaissance,United Kingdom,"Interdisciplinary research in the Social Sciences, Political Sciences and International Relations",2
478242,542,Evidence & Policy,United Kingdom,"Political Sciences and International Relations, Interdisciplinary research in the Social Sciences",2
446898,195,Seventeenth-Century French Studies,United Kingdom,Literature,1
441202,1116,History of Education,United Kingdom,"Pedagogical & Educational Research, History",2
342509,3226,Third World Quarterly,United Kingdom,"Economics, Interdisciplinary research in the Social Sciences, Political Sciences and International Relations",3
438357,1715,Behavioral sciences & the law,United Kingdom,Psychology,1
443216,1562,Journal of Logic and Computation,United Kingdom,Philosophy,1
343385,2666,Behavioural Pharmacology,United Kingdom,Psychology,1
442260,457,Japanese Journal of Political Science,United Kingdom,Political Sciences and International Relations,1
340152,2629,European Planning Studies,United Kingdom,Human Geography and Urban Studies,1
440488,1133,European Journal of the History of Economic Thought,United Kingdom,History,1
441182,741,"Historical Journal of Film, Radio and Television",United Kingdom,History,1
446209,1318,Psychology of women quarterly,United Kingdom,"Psychology, Gender Studies",2
446354,575,ReCALL,United Kingdom,"Linguistics, Pedagogical & Educational Research",2
440785,1125,French Studies,United Kingdom,"Linguistics, Literature",2
448065,373,Visual Resources,United Kingdom,Art and Art History,1
438270,1291,Australian Journal of Education,United Kingdom,Pedagogical & Educational Research,1
445221,4613,Nicotine & Tobacco Research,United Kingdom,Psychology,1
500622,43,Afghanistan,United Kingdom,Interdisciplinary research in the Humanities,1
440507,461,European Review of Economic History,United Kingdom,History,1
436343,152,Slavonica,United Kingdom,Literature,1
503162,24,Studia Celto-Slavica,United Kingdom,"History, Cultural Studies, Linguistics, Literature, Interdisciplinary research in the Humanities",5
480446,662,Contemporary French and Francophone Studies,United Kingdom,Literature,1
444451,173,Literature and history,United Kingdom,"History, Literature",2
488293,668,Digital Scholarship in the Humanities,United Kingdom,"Art and Art History, Cultural Studies, Film and Theatre Studies, History, Interdisciplinary research in the Humanities, Library and Information Science, Linguistics, Literature",8
486461,58,East Asian Pragmatics,United Kingdom,"Cultural Studies, Linguistics, Media Studies and Communication",3
