EP_id,Publications_in_venue,Original Title,Country of Publication,ERIH PLUS Disciplines,disc_count
446803,167,Science Fiction Studies,United States,Literature,1
446803,11,Science Fiction Studies,United States,Literature,1
444118,321,Journal of World Prehistory,United States,"Archaeology, Anthropology",2
446479,3091,Review of Educational Research,United States,"Pedagogical & Educational Research, Psychology",2
476618,37,Journal of Historians of Netherlandish Art,United States,Art and Art History,1
444848,249,Milton Studies,United States,"Cultural Studies, Political Sciences and International Relations, Literature, Religious Studies and Theology",4
483994,400,Early China,United States,"History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
442382,2141,Journal of American Folklore,United States,Anthropology,1
447601,2313,Journal of American History,United States,History,1
340509,5625,American Journal of International Law,United States,Law,1
499021,11,American Association of Philosophy Teachers Studies in Pedagogy,United States,"Pedagogical & Educational Research, Philosophy",2
442475,137,Journal of Ayn Rand Studies,United States,"Anthropology, History, Economics, Political Sciences and International Relations, Sociology, Literature, Philosophy, Psychology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",10
481288,71,Journal for the History of Analytical Philosophy,United States,Philosophy,1
483247,119,Studies in 20th and 21st Century Literature,United States,Literature,1
421225,1168,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,United States,"Philosophy, History & Philosophy of Science",2
438760,1713,Business History Review,United States,History,1
489991,550,Emerging Adulthood,United States,"Psychology, Interdisciplinary research in the Social Sciences",2
342774,1529,Party Politics,United States,Political Sciences and International Relations,1
442914,2650,Journal of Family Issues,United States,Psychology,1
413929,5931,Journal of Interpersonal Violence,United States,Psychology,1
439030,11119,Child Development,United States,"Pedagogical & Educational Research, Psychology",2
447975,1146,Urban Affairs Review,United States,"Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences",2
439542,2485,Counseling Psychologist,United States,Psychology,1
341375,1101,Cooperation and Conflict,United States,"Business and Management, Political Sciences and International Relations",2
437424,203,African Economic History,United States,History,1
437424,25,African Economic History,United States,History,1
439239,373,College Literature: A Journal of Critical Literary Studies,United States,Literature,1
439285,779,Communication Theory,United States,Linguistics,1
440365,1250,Ethnohistory,United States,"Anthropology, History",2
440368,1058,Ethnomusicology,United States,"Musicology, Anthropology",2
418107,3849,Current Anthropology,United States,"Anthropology, Archaeology",2
447393,15,Technical Communication,United States,"History & Philosophy of Science, Cultural Studies, Media Studies and Communication, Business and Management, Science and Technology Studies, Environmental Studies, Pedagogical & Educational Research, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",9
447044,739,Sociology of religion,United States,Religious Studies and Theology,1
342603,2719,"Leonardo: Journal of the International Society for the Arts, Sciences and Technology",United States,Art and Art History,1
341979,1548,Learning and Motivation,United States,"Psychology, Pedagogical & Educational Research",2
448177,1189,WORD: Journal of the International Linguistic Association,United States,Linguistics,1
448202,1780,World Politics,United States,Political Sciences and International Relations,1
445748,4289,Philosophy of Science,United States,"History & Philosophy of Science, Philosophy",2
444095,3385,Journal of Vocational Behavior,United States,Psychology,1
437423,1539,African Arts,United States,Art and Art History,1
442720,1426,The Journal of creative behavior,United States,Psychology,1
342676,2480,Journal of Cross-Cultural Psychology,United States,Psychology,1
442645,3161,Journal of Community Psychology,United States,Psychology,1
442436,923,Journal of Applied Sport Psychology,United States,Psychology,1
341534,3215,Demography,United States,Demography,1
499717,258,Graduate Faculty Philosophy Journal,United States,"Philosophy, Interdisciplinary research in the Humanities",2
446640,961,Rhetoric Society Quarterly,United States,"Media Studies and Communication, Linguistics, Literature, Interdisciplinary research in the Humanities",4
444897,1175,Modern Language Quarterly: A Journal of Literary History,United States,Literature,1
437422,187,African American Review,United States,Literature,1
437422,451,African American Review,United States,Literature,1
341269,2114,Journal of Psychoactive Drugs,United States,Psychology,1
445535,1077,Pacific Philosophical Quarterly,United States,Philosophy,1
445727,318,The Philosophical Forum,United States,Philosophy,1
436523,695,"Written Communication: an international quarterly of research, theory, and application",United States,"Media Studies and Communication, Literature",2
442493,2219,Journal of Biological Education,United States,Pedagogical & Educational Research,1
482765,773,Adult Learning,"United Kingdom, United States",Pedagogical & Educational Research,1
485038,38,Linguistic and Philosophical Investigations,United States,"Linguistics, Philosophy",2
485039,35,Review of Contemporary Philosophy,United States,"Interdisciplinary research in the Humanities, Philosophy",2
480904,137,The Journal of Post-Soviet Democratization,United States,"History, Economics, Political Sciences and International Relations, Interdisciplinary research in the Humanities",4
441284,314,Hume Studies,United States,Philosophy,1
484182,207,Evolutionary Behavioral Sciences,United States,Psychology,1
437589,5543,American Journal of Orthopsychiatry,United States,Psychology,1
340596,4180,Behavioral Neuroscience,United States,Psychology,1
439640,1117,Cultural diversity & ethnic minority psychology,United States,"Political Sciences and International Relations, Sociology, Psychology",3
439860,6858,Developmental Psychology,United States,Psychology,1
339732,4456,Journal of Experimental Psychology: Human Perception and Performance,United States,Psychology,1
341018,4154,"Journal of Experimental Psychology. Learning, Memory and Cognition",United States,Psychology,1
442918,2419,Journal of Family Psychology,United States,Psychology,1
341769,10276,Journal of Personality and Social Psychology,United States,Psychology,1
489287,228,Journal of Experimental Psychology: Animal Learning and Cognition,United States,Psychology,1
443177,159,Journal of Japanese Studies,United States,History,1
443177,306,Journal of Japanese Studies,United States,History,1
340672,3434,American Journal of Human Biology,United States,Anthropology,1
440108,1812,Educational technology research and development,United States,Pedagogical & Educational Research,1
444900,1609,Modern philology,United States,Literature,1
475150,268,Girlhood Studies An Interdisciplinary Journal,United States,"Gender Studies, Sociology",2
479858,771,Clinical Psychological Science,United States,Psychology,1
339954,2299,Comparative Political Studies,United States,Political Sciences and International Relations,1
480647,67,Knowledge Cultures,United States,"Cultural Studies, Pedagogical & Educational Research, Philosophy",3
447515,40,The Classical Journal,United States,"Classical Studies, History",2
447515,122,The Classical Journal,United States,"Classical Studies, History",2
438923,56,CEA critic,United States,"Interdisciplinary research in the Humanities, Literature",2
484655,79,Women in French Studies,United States,Gender Studies,1
486016,1484,Industrial and Organizational Psychology: Perspectives on Science and Practice (IOP),United States,"Interdisciplinary research in the Social Sciences, Psychology",2
