ID,E_ISSN,P_ISSN,TITLE,URL,level,DH LEVEL,Iteration
1,2532-8816,,Umanistica Digitale,https://umanisticadigitale.unibo.it/,1,Exclusively,1
2,2297-2668,,Frontiers in Digital Humanities,https://www.frontiersin.org/journals/digital-humanities,1,Exclusively,1
3,2055-768X,2055-7671,Digital Scholarship in the Humanities (DSH),https://academic.oup.com/dsh,1,Exclusively,1
4,1938-4122,,Digital Humanities Quarterly (DHQ),http://www.digitalhumanities.org/dhq/about/about.html,1,Exclusively,1
5,1918-3666,,Digital Studies / Le champ numérique,https://www.digitalstudies.org/,1,Exclusively,1
6,2165-6673,,Journal of Digital Humanities,http://journalofdigitalhumanities.org/,1,Exclusively,1
7,2371-4549,,Journal of Cultural Analytics,https://culturalanalytics.org/,1,Exclusively,1
8,2616-5732,,Journal of Digital Archives and Digital Humanities,http://www.ainoscopress.com/journal-of-digital-archives-and-digital-humanities.html,1,Exclusively,1
9,2630-9696,,Digitális Bölcsészet / Digital Humanities,http://ojs.elte.hu/index.php/digitalisbolcseszet,1,Exclusively,1
10,2531-1786,,Revista de humanidades digitales,http://revistas.uned.es/index.php/RHD/index,1,Exclusively,1
11,2188-7276,,Journal of the Japanese Association for Digital Humanities,https://www.jstage.jst.go.jp/browse/jjadh,1,Exclusively,1
12,2416-5999,,Journal of Data Mining and Digital Humanities,https://jdmdh.episciences.org/,1,Exclusively,1
13,2524-7840,2524-7832,International Journal of Digital Humanities,https://www.springer.com/statistics/journal/42803,1,Exclusively,1
14,1556-4711,1556-4673,Journal on Computing and Cultural Heritage (JOCCH),https://dl.acm.org/citation.cfm?id=J1157,1,Exclusively,1
15,1477-4615,0268-1145,Literary and Linguistics Computing,https://global.oup.com/academic/product/literary-and-linguistic-computing-14774615?cc=it&lang=en&,1,Exclusively,1
16,2162-5603,,Journal of the Text Encoding Initiative,https://journals.openedition.org/jtei/,1,Exclusively,1
17,1572-8412,0010-4817,Computers and the Humanities,https://www.jstor.org/journal/comphuma,1,Exclusively,2
18,1755-1706,1753-8548,International Journal of Humanities and Arts Computing,https://www.euppublishing.com/loi/ijhac,1,Exclusively,2
19,1715-0736,,Digital Medievalist,https://journal.digitalmedievalist.org/,1,Exclusively,2
20,2059-5824,2059-5816,Digital Library Perspectives,https://www.emerald.com/insight/publication/issn/2059-5816,2,Significantly,2
21,1937-5034,1938-6389,Journal of Library Metadata,https://www.tandfonline.com/action/journalInformation?journalCode=wjlm20,2,Significantly,2
22,1744-5035,0929-6174,Journal of Quantitative Linguistics,https://www.tandfonline.com/action/journalInformation?journalCode=njql20,2,Significantly,2
23,1574-0218 ,1574-020X,Language Resources and Evaluation,https://link.springer.com/journal/10579,2,Significantly,2
24,1989-9947,,Virtual Archaeology Review,https://polipapers.upv.es/index.php/var,2,Significantly,2
25,1082-9873,,D-Lib Magazine,http://www.dlib.org/,2,Significantly,2
26,1530-9312,0891-2017,Computational Linguistics,https://www.mitpressjournals.org/loi/coli,2,Significantly,2
27,1435-5655,0951-5666,AI & SOCIETY,https://link.springer.com/journal/146,2,Significantly,2
28,1432-1300 ,1432-5012,International Journal on Digital Libraries,https://link.springer.com/journal/799,2,Significantly,2
29,2037-2426,,ENTHYMEMA,https://riviste.unimi.it/index.php/enthymema,2,Significantly,1
30,2037-3597,,Italiano LinguaDue,https://riviste.unimi.it/index.php/promoitals,2,Significantly,1
31,2532-1803,,Lingue e culture dei media,https://riviste.unimi.it/index.php/LCdM,2,Significantly,1
32,2038-1026,2038-5366,JLIS,https://www.jlis.it/,2,Significantly,1
33,2035-7362,,Doctor virtualis,https://riviste.unimi.it/index.php/DoctorVirtualis,2,Significantly,1
34,1746-8256 ,,INTERNATIONAL JOURNAL OF DIGITAL CURATION,http://www.ijdc.net/index,2,Significantly,1
35,2166-6245,,The Journal of Interactive Technology and Pedagogy ,https://jitp.commons.gc.cuny.edu/,2,Significantly,1
36,1940-5758,,Code4Lib Journal,https://code4lib.org/,2,Significantly,1
37,2473-1404,1949-9833,Journal of the Historians of Netherlandish Art,https://jhna.org/,3,Marginally,1
38,2035-7680 ,,Altre modernità,https://riviste.unimi.it/index.php/AMonline,3,Marginally,1
39,2421-5503,,Interfaces,https://riviste.unimi.it/interfaces,3,Marginally,1
40,1972-621X,1972-6201,DigItalia,http://digitalia.sbn.it,3,Marginally,1
41,2499-6637,,Prassi ecdotiche della modernità letteraria,https://riviste.unimi.it/index.php/PEML,3,Marginally,1
42,2037-4445,,Rivista italiana di filosofia analitica junior,https://riviste.unimi.it/index.php/rifanalitica,3,Marginally,1
43,2076-0752,,Arts,https://www.mdpi.com/journal/arts,3,Marginally,1
44,1558-3430,1530-0226,ACM Transactions on Asian Language Information Processing,https://dl.acm.org/citation.cfm?id=J820,3,Marginally,2
45,2050-4551,0955-7490,Alexandria The Journal of National and International Library and Information Issues,https://www.ingentaconnect.com/content/manup/alex,3,Marginally,2
46,1573-7519,1389-0166,Archival Science,https://link.springer.com/journal/10502,3,Marginally,2
47,1934-8371,0005-1055,Automatic Documentation and Mathematical Linguistics,https://www.springer.com/computer/database+management+%26+information+retrieval/journal/11952,3,Marginally,2
48,1544-4554,0163-9374,Cataloging and Classification Quarterly,https://www.tandfonline.com/action/journalInformation?journalCode=wccq20,3,Marginally,2
49,1471-6844,0009-8388,Classical Quarterly,https://www.cambridge.org/core/journals/classical-quarterly,3,Marginally,2
50,2150-6698,0099-0086,College and Research Libraries News,https://crln.acrl.org/index.php/crlnews,3,Marginally,2
51,1531-5169,0148-9267,Computer Music Journal,https://www.mitpressjournals.org/cmj,3,Marginally,2
52,1095-8363,0885-2308,computer speech and language,https://www.journals.elsevier.com/computer-speech-and-language,3,Marginally,2
53,1745-2651,0340-0352,IFLA Journal,http://uk.sagepub.com/en-gb/eur/journal/ifla-journal,3,Marginally,2
54,2398-6255,2398-6247,Information Discovery and Delivery,https://www.emerald.com/insight/publication/issn/2398-6247,3,Marginally,2
55,1873-5371,0306-4573,Information Processing & Management,https://www.journals.elsevier.com/information-processing-and-management,3,Marginally,2
56,2040-0934,1479-4713,International Journal of Performance Arts and Digital Media,https://www.tandfonline.com/action/journalInformation?journalCode=rpdm20,3,Marginally,2
57,2194-9034,1682-1750,ISPRS - International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences,https://www.isprs.org/publications/archives.aspx,3,Marginally,2
58,2194-9050,2194-9042,ISPRS Annals of Photogrammetry Remote Sensing and Spatial Information Sciences,https://www.isprs.org/publications/annals.aspx,3,Marginally,2
59,1879-1999,0099-1333,Journal of Academic Librarianship,https://www.journals.elsevier.com/the-journal-of-academic-librarianship,3,Marginally,2
60,1095-9238,0305-4403,Journal of Archaeological Science,https://www.journals.elsevier.com/journal-of-archaeological-science,3,Marginally,2
61,1533-2756,1533-2748,Journal of Archival Organization,https://www.tandfonline.com/action/journalInformation?journalCode=wjao20,3,Marginally,2
62,1778-3674,1296-2074,Journal of Cultural Heritage,https://www.sciencedirect.com/journal/journal-of-cultural-heritage,3,Marginally,2
63,1758-8871,1477-996X,Journal of Information Communication and Ethics in Society,https://www.emerald.com/insight/publication/issn/1477-996X,3,Marginally,2
64,1744-5027,0929-8215,Journal of New Music Research,https://www.tandfonline.com/action/journalInformation?journalCode=nnmr20,3,Marginally,2
65,1467-9841,1360-6441,Journal of Sociolinguistics,https://onlinelibrary.wiley.com/journal/14679841,3,Marginally,2
66,1532-2890,1532-2882,Journal of the American Society for Information Science and Technology,https://asistdl.onlinelibrary.wiley.com/journal/23301643,3,Marginally,2
67,2330-1643,2330-1635,Journal of the Association for Information Science and Technology,https://asistdl.onlinelibrary.wiley.com/journal/23301643,3,Marginally,2
68,2325-7989,2325-7962,Journal of the Society of Archivists,https://www.tandfonline.com/action/journalInformation?journalCode=cjsa21,3,Marginally,2
69,1552-6771,0096-1442,Journal of Urban History,https://journals.sagepub.com/home/juh,3,Marginally,2
