,Country,Journal_count,Publication_count
0,United Kingdom,1335,1592313
1,United States,1150,2230670
2,Spain,801,75852
3,Poland,783,54097
4,Netherlands,534,717519
5,Brazil,464,36848
6,Ukraine,267,29423
7,Turkey,244,33047
8,Germany,244,167183
9,Russia,216,23350
10,France,199,100708
11,Colombia,179,17023
12,Romania,174,8193
13,Czechia,150,14537
14,Argentina,133,4945
15,Serbia,115,11664
16,Chile,104,5469
17,Portugal,99,9045
18,Croatia,97,4287
19,Italy,87,14401
20,Belgium,77,14637
21,Mexico,70,6448
22,Ecuador,69,3373
23,Slovakia,64,4677
24,Norway,61,9350
25,Canada,60,27690
26,Lithuania,55,10448
27,Peru,55,3498
28,Hungary,51,4722
29,Slovenia,48,4961
30,Switzerland,48,124783
31,Costa Rica,41,2226
32,Bulgaria,38,4718
33,Australia,38,24225
34,Bosnia and Herzegovina,37,691
35,Sweden,29,6720
36,Indonesia,27,1173
37,Austria,26,1928
38,Denmark,24,5516
39,South Africa,20,6546
40,Venezuela,19,1653
41,India,19,3833
42,International,15,2413
43,Latvia,14,810
44,Estonia,14,1279
45,Finland,13,3842
46,Greece,13,581
47,Ireland,9,1315
48,Montenegro,8,610
49,Moldova,8,129
50,Bolivia,8,359
51,Japan,8,5961
52,Macedonia,8,156
53,Uruguay,8,186
54,Armenia,7,179
55,Pakistan,7,174
56,Cyprus,7,621
57,Nicaragua,6,189
58,Kazakhstan,6,152
59,Israel,5,2426
60,Panama,5,48
61,Georgia,5,151
62,"United Kingdom, United States",5,8301
63,China,4,405
64,Iran,4,932
65,New Zealand,4,4398
66,Paraguay,4,42
67,"Korea, Republic of",4,857
68,Puerto Rico,4,180
69,Azerbaijan,3,16
70,Dominican Republic,3,196
71,Iceland,2,21
72,Guatemala,2,134
73,"Netherlands, United States",2,3977
74,"Germany, United States",2,479
75,Albania,2,312
76,Algeria,2,668
77,"Switzerland, United Kingdom",1,2447
78,Cuba,1,13
79,Egypt,1,10
80,United Arab Emirates,1,76
81,Lebanon,1,13
82,"Spain, United Kingdom",1,794
83,Honduras,1,8
84,Nepal,1,67
85,Angola,1,57
86,"Italy, Norway",1,43
87,"United Kingdom, Norway",1,758
88,"United Kingdom, Netherlands",1,15
89,Martinique,1,526
90,"Czechia, Finland",1,49
91,Guadeloupe,1,107
92,"Germany, United Kingdom",1,195
93,Dominica,1,20
94,Hong Kong,1,562
95,"Norway, United States",1,2229
96,Singapore,1,462
97,Malaysia,1,4
98,Iraq,1,1
99,"Netherlands, International",1,165
100,"United Kingdom, South Africa",1,900
101,Luxembourg,1,1309
