,EP_id,Publications_in_venue,OC_omid,issn,Open Access
2575,470652,268538,068038897,['1932-6203'],True
525,422484,207581,0626016512,"['1744-7933', '0028-0836', '1476-4679', '1476-4687', '1465-7392']",Unknown
228,341568,148780,0621062545,"['0027-8424', '1091-6490']",Unknown
265,341841,145090,0619015403,"['1095-9203', '0036-8075']",Unknown
243,341662,58268,0623041985,['0006-8993'],Unknown
392,343110,57919,061409645,['0001-4966'],Unknown
2788,472952,49052,064026276,['1660-4601'],True
150,340879,34283,063033808,"['0031-4005', '1098-4275']",Unknown
3183,477519,31725,061205305,['1664-1078'],True
271,341881,24863,0623054690,"['0002-953X', '1535-7228']",Unknown
1390,442558,24594,066039289,"['1938-1328', '0021-9584']",Unknown
85,340401,18797,065054328,"['0340-2118', '0171-1741', '0175-7598', '1432-0614']",Unknown
86,340411,18365,061010574,['0031-9384'],Unknown
402,343194,17469,066013973,['0277-9536'],Unknown
393,343115,17193,06307482,"['1432-2072', '0033-3158']",Unknown
466,343707,15435,061903008,"['0014-4819', '1432-1106']",Unknown
439,343476,14981,06808577,['0165-0327'],Unknown
257,341795,14625,06401254,['0091-3057'],Unknown
302,342177,14046,068025601,['0003-3472'],Unknown
410,343253,13814,061405400,['0006-3223'],Unknown
454,343622,13560,062204296,['0166-4328'],Unknown
331,342510,13118,0616038848,['0042-6989'],Unknown
256,341793,12985,067043489,['0191-8869'],Unknown
239,341621,12724,067017443,"['1872-6623', '0304-3959']",Unknown
272,341882,12718,0615016934,"['1469-1825', '0140-525X']",Unknown
191,341230,12452,068047615,['0165-1765'],Unknown
262,341830,12005,06507689,['0920-9964'],Unknown
278,341947,11872,0623014200,"['1360-0443', '0965-2140']",Unknown
837,439030,11119,06102845,"['0009-3920', '1467-8624']",Unknown
360,342812,11000,0619026442,"['1600-0447', '0001-690X']",Unknown
252,341769,10276,0611018657,"['0022-3514', '1939-1315']",Unknown
642,437499,10222,0624049444,"['0145-6008', '1530-0277']",Unknown
443,343512,10080,0623052934,['0028-3932'],Unknown
649,437552,9963,0614033848,"['1937-5239', '0002-8762']",Unknown
1396,442612,9933,0614010929,"['1097-4679', '0021-9762']",Unknown
529,423037,9485,0621046459,"['1096-8644', '0002-9483']",Unknown
350,342715,9420,061062988,['1040-6182'],Unknown
1745,444535,9382,063041782,"['1526-5501', '0025-1909']",Unknown
705,437975,9368,06601573,"['0905-7196', '1600-6143', '1600-0471', '1600-6135']",Unknown
605,436416,9110,061105191,['0148-2963'],Unknown
646,437535,9000,0619059929,"['1548-1433', '0002-7294']",Unknown
1385,442524,8954,0625030003,"['1573-0697', '0167-4544']",Unknown
1639,443965,8650,0612042650,"['1476-9360', '0160-5682']",Unknown
1366,442433,8448,0622032144,"['0021-9010', '1939-1854']",Unknown
185,341159,8438,0619035383,"['0033-2917', '1469-8978']",Unknown
90,340441,8380,0613017468,['0890-8567'],Unknown
659,437631,8215,067032830,"['0003-066X', '1935-990X']",Unknown
588,435330,8213,0616028761,"['1365-2923', '0308-0110']",Unknown
1030,440307,7973,065018561,['1525-5050'],Unknown
543,425478,7762,0624028682,['1054-139X'],Unknown
329,342504,7640,0625016740,['0305-750X'],Unknown
374,342926,7505,0621044979,"['1573-0964', '0039-7857']",Unknown
255,341784,7502,0625033069,"['0013-0133', '1468-0297']",Unknown
891,439429,7376,061901332,['0747-5632'],Unknown
1293,441984,7374,061018476,['0925-5273'],Unknown
250,341737,7297,0623012761,"['0143-005X', '1470-2738']",Unknown
48,340115,7297,065014611,['0277-3791'],Unknown
452,343615,7205,06609894,['0306-4603'],Unknown
159,340992,7194,0623035228,"['1939-2117', '0022-006X']",Unknown
411,343260,7126,0625031439,"['0161-8105', '1550-9109']",Unknown
1376,442470,7104,063011890,"['0021-9185', '1573-3432', '0162-3257']",Unknown
429,343397,7099,062105433,"['0022-0663', '1939-2176']",Unknown
545,425633,7015,0623021472,['0022-3999'],Unknown
299,342146,6883,0622011252,"['0003-0554', '1537-5943']",Unknown
535,423797,6876,062025773,"['0013-1644', '1552-3888']",Unknown
951,439860,6858,0611018581,"['0012-1649', '1939-0599']",Unknown
226,341539,6785,0626055628,"['1588-2861', '0138-9130']",Unknown
96,340471,6562,0626041652,"['1366-5847', '0014-0139']",Unknown
2180,447400,6555,0623025672,['0040-1625'],Unknown
280,341960,6507,066064112,"['1546-1726', '1097-6256']",Unknown
349,342714,6372,06402911,"['1940-1183', '0022-4545']",Unknown
