OC_omid,issn,EP_id,Publications_in_venue,Open Access
0602344,['0172-6404'],471777,12,Uknown
06101046386,"['1353-0194', '1469-3542']",438654,565,Uknown
061010574,['0031-9384'],340411,16365,Uknown
06101064393,"['2619-1008', '2619-0990']",494990,26,True
06101067916,"['2215-0900', '2215-0897']",491653,1,True
06101067942,"['2215-1354', '2215-1362']",488005,68,Uknown
06101067968,"['2215-1486', '2215-1478']",481319,104,Uknown
06101074909,['1301-966X'],491437,116,True
06101075056,"['2710-2114', '2710-2122']",500646,22,Uknown
06101086334,"['1989-7448', '1139-7853']",474791,238,Uknown
06101086794,"['1989-6816', '0213-8093']",489580,136,Uknown
06101086821,"['1989-709X', '2171-2085']",484985,175,Uknown
06101086864,['1989-7103'],483902,22,True
06101086888,['1989-7383'],476649,18,True
06101086967,"['1139-9368', '1989-8193']",485695,108,True
06101087016,"['1889-979X', '1989-8452']",493681,17,True
06101087029,['1989-8487'],486735,2,True
06101087035,['1989-8568'],498623,198,True
06101088110,"['1558-5263', '0920-1297']",469844,439,True
06101096176,"['2542-7466', '2542-7458']",496963,14,Uknown
06101096258,['2543-1587'],496783,26,True
06101096269,"['0924-6304', '2543-1684']",503176,502,True
06101096680,"['2543-3164', '2543-3156']",495275,52,Uknown
06101103210,['0131-2812'],499927,39,Uknown
06101104220,"['0131-1441', '2346-6014']",481391,36,Uknown
06101130760,"['0211-5913', '2530-8335']",451558,13,Uknown
06101130872,"['2196-7970', '1616-1203']",476375,276,Uknown
06101152992,['2149-2751'],498298,65,Uknown
06101157473,"['1752-2285', '0967-201X']",343406,272,True
06101168457,['0091-7729'],446803,167,Uknown
06101173536,['1388-4441'],498783,154,Uknown
06101227013,"['1470-1553', '1060-1503']",448043,993,Uknown
06101269976,"['0892-7537', '1573-7802']",444118,321,Uknown
06101278958,['2667-4750'],474122,102,Uknown
06101278987,"['2667-4874', '1300-1272']",496380,42,True
06101284231,"['2075-9827', '2313-0210']",487807,151,True
