,Discipline,Journal_count,Publication_count
0,Interdisciplinary research in the Social Sciences,1592,753265
1,History,1360,399670
2,Pedagogical & Educational Research,1355,644847
3,Interdisciplinary research in the Humanities,1353,154756
4,Linguistics,1186,388665
5,Literature,1131,213712
6,Psychology,1049,2159665
7,Cultural Studies,891,94696
8,Economics,868,582257
9,Philosophy,863,290131
10,Sociology,817,670586
11,Political Sciences and International Relations,782,256027
12,Business and Management,778,399391
13,Art and Art History,633,122292
14,Anthropology,604,838507
15,Law,592,89953
16,Religious Studies and Theology,578,137654
17,Media Studies and Communication,504,303527
18,Human Geography and Urban Studies,476,605005
19,Science and Technology Studies,452,306679
20,Archaeology,436,650681
21,History & Philosophy of Science,415,413033
22,Gender Studies,386,113259
23,Environmental Studies,369,623699
24,Classical Studies,262,64755
25,Film and Theatre Studies,231,28766
26,Social Statistics and Informatics,225,247821
27,Demography,188,512162
28,Musicology,168,96980
29,Library and Information Science,153,39554
